source,person_id,image_path,y0,x0,y1,x1,bmi,is_female,height_m,weight_kg,age
visual_bmi,vb_2a42h0,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2a42h0/2a42h0_h6VenpC_225_71_false_30_1.0.jpg,0.0,0.0,1.0,1.0,31.3808,0.0,1.8034,102.05828,
visual_bmi,vb_2a42h0,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2a42h0/2a42h0_z6VenpC_216_71_false_30_1.0.jpg,0.0,0.0,1.0,1.0,30.1256,0.0,1.8034,97.97595,
visual_bmi,vb_2xraoq,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2xraoq/2xraoq_PbDJbcx_213_66_true_2_0.56.jpg,0.0,0.0,1.0,1.0,34.3787,1.0,1.6764,96.61517,
visual_bmi,vb_2xraoq,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2xraoq/2xraoq_zbDJbcx_213_66_true_2_0.56.jpg,0.0,0.0,1.0,1.0,34.3787,1.0,1.6764,96.61517,
visual_bmi,vb_3xptz5,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/3xptz5/3xptz5_P2YhThW_167_67_false_223_1.0.jpg,0.0,0.0,1.0,1.0,26.1556,0.0,1.7018,75.74993,
visual_bmi,vb_3xptz5,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/3xptz5/3xptz5_P2YhThW_230_67_false_223_1.0.jpg,0.0,0.0,1.0,1.0,36.0227,0.0,1.7018,104.32625,
visual_bmi,vb_1u3m0n,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/1u3m0n/1u3m0n_8kWnagv_170_68_false_7_0.75.jpg,0.0,0.0,1.0,1.0,25.8481,0.0,1.7272,77.1107,
visual_bmi,vb_1u3m0n,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/1u3m0n/1u3m0n_9kWnagv_170_68_false_7_0.75.jpg,0.0,0.0,1.0,1.0,25.8481,0.0,1.7272,77.1107,
visual_bmi,vb_ii7sqk,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/ii7sqk/ii7sqk_oHplg_180_71_false_10_1.3.jpg,0.0,0.0,1.0,1.0,25.1046,0.0,1.8034,81.64663,
visual_bmi,vb_ii7sqk,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/ii7sqk/ii7sqk_oHpjg_180_71_false_10_1.3.jpg,0.0,0.0,1.0,1.0,25.1046,0.0,1.8034,81.64663,
visual_bmi,vb_1tjayb,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/1tjayb/1tjayb_zapS5xs_159_68_true_12_0.75.jpg,0.0,0.0,1.0,1.0,24.1756,1.0,1.7272,72.12119,
visual_bmi,vb_1tjayb,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/1tjayb/1tjayb_tapS5xs_159_68_true_12_0.75.jpg,0.0,0.0,1.0,1.0,24.1756,1.0,1.7272,72.12119,
visual_bmi,vb_1gbort,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/1gbort/1gbort_yKrnA0i_145_67_true_586_1.0.jpg,0.0,0.0,1.0,1.0,22.71,1.0,1.7018,65.77089,
visual_bmi,vb_1gbort,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/1gbort/1gbort_yKrnA0i_180_67_true_586_1.0.jpg,0.0,0.0,1.0,1.0,28.1917,1.0,1.7018,81.64663,
visual_bmi,vb_2fwvwa,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2fwvwa/2fwvwa_KicIntK_188_73_false_79_1.31.jpg,0.0,0.0,1.0,1.0,24.8034,0.0,1.8542,85.27537,
visual_bmi,vb_2fwvwa,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2fwvwa/2fwvwa_KicIntK_181_73_false_79_1.31.jpg,0.0,0.0,1.0,1.0,23.8798,0.0,1.8542,82.10022,
visual_bmi,vb_13d1o7,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/13d1o7/13d1o7_xafWd_178_71_false_5_1.34.jpg,0.0,0.0,1.0,1.0,24.8257,0.0,1.8034,80.73944,
visual_bmi,vb_13d1o7,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/13d1o7/13d1o7_HafWd_178_71_false_5_1.34.jpg,0.0,0.0,1.0,1.0,24.8257,0.0,1.8034,80.73944,
visual_bmi,vb_2apebg,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2apebg/2apebg_OjmSe8a_271_63_true_507_0.67.jpg,0.0,0.0,1.0,1.0,48.005,1.0,1.6002,122.92353,
